Alloy Name,DOIs
Al0.3CoCrCu0.3FeNi,"['10.1016.j.mtcomm.2021.102503', '10.1016.j.matdes.2020.109238', '10.1016.j.jallcom.2019.03.349']"
Al0.3CoCrCuFeNi,"['10.1016.j.jallcom.2017.11.233', '10.1016.j.scriptamat.2019.04.041']"
Al0.3CoCrFeMnNi,"['10.1016.j.matchemphys.2017.09.013', '10.1016.j.pmatsci.2021.100854', '10.1016.j.scriptamat.2018.12.021']"
Al0.3CoCrFeNi,"['10.1016.j.jallcom.2022.166768', '10.1016.j.jmst.2020.11.044', '10.1016.j.mtsust.2023.100639', '10.1016.j.jmrt.2022.01.118', '10.1016.j.msea.2022.142967', '10.1016.j.jmrt.2023.07.079', '10.1016.j.jmst.2018.09.002', '10.1016.j.jmst.2020.11.029', '10.1016.j.intermet.2018.05.013', '10.1016.j.jallcom.2023.170826', '10.1016.j.matdes.2023.111847', '10.1016.j.intermet.2012.03.005', '10.1016.j.intermet.2018.01.021', '10.1016.j.matdes.2017.07.008', '10.1016.j.intermet.2015.11.002', '10.1016.j.jmst.2020.01.057', '10.1016.j.jmst.2023.12.006', '10.1016.j.msea.2021.141085', '10.1016.j.msea.2021.141253', '10.1016.j.scriptamat.2016.06.019', '10.1016.j.scriptamat.2017.06.009', '10.1016.j.wear.2019.203028', '10.1016.j.actamat.2019.12.015', '10.1016.j.matdes.2016.07.073', '10.1016.j.actamat.2021.116938', '10.1016.j.actamat.2023.119248', '10.1016.j.actamat.2017.03.066', '10.1016.j.jallcom.2013.11.084', '10.1016.j.mtcomm.2023.105822', '10.1016.j.matchemphys.2017.09.013', '10.1016.j.surfcoat.2019.125028', '10.1016.j.actamat.2016.10.038', '10.1016.j.actamat.2018.05.009', '10.1016.j.actamat.2018.12.010', '10.1016.j.actamat.2019.09.026', '10.1016.j.actamat.2019.10.012', '10.1016.j.actamat.2020.01.060', '10.1016.j.actamat.2020.10.071', '10.1016.j.actamat.2022.118445', '10.1016.j.actamat.2022.118600', '10.1016.j.apsusc.2018.01.047', '10.1016.j.apt.2020.02.032', '10.1016.j.ceramint.2023.03.049', '10.1016.j.cirpj.2024.05.014', '10.1016.j.commatsci.2024.112980', '10.1016.j.corsci.2021.110038', '10.1016.j.ijfatigue.2023.107869', '10.1016.j.ijfatigue.2023.107871', '10.1016.j.ijfatigue.2023.108125', '10.1016.j.ijimpeng.2021.104091', '10.1016.j.ijrmhm.2022.105990', '10.1016.j.intermet.2017.12.021', '10.1016.j.intermet.2022.107600', '10.1016.j.intermet.2022.107749', '10.1016.j.intermet.2023.108029', '10.1016.j.intermet.2024.108241', '10.1016.j.intermet.2024.108403', '10.1016.j.jallcom.2008.12.088', '10.1016.j.jallcom.2010.02.032', '10.1016.j.jallcom.2017.08.067', '10.1016.j.jallcom.2017.12.216', '10.1016.j.jallcom.2018.04.305', '10.1016.j.jallcom.2018.11.116', '10.1016.j.jallcom.2019.152486', '10.1016.j.jallcom.2019.153445', '10.1016.j.jallcom.2020.156014', '10.1016.j.jallcom.2020.158286', '10.1016.j.jallcom.2021.158717', '10.1016.j.jallcom.2021.159504', '10.1016.j.jallcom.2021.162196', '10.1016.j.jallcom.2021.163218', '10.1016.j.jallcom.2021.163554', '10.1016.j.jallcom.2022.163886', '10.1016.j.jallcom.2022.165341', '10.1016.j.jallcom.2022.165587', '10.1016.j.jallcom.2022.166209', '10.1016.j.jallcom.2023.170174', '10.1016.j.jallcom.2023.171358', '10.1016.j.jallcom.2023.172194', '10.1016.j.jallcom.2023.173002', '10.1016.j.jallcom.2024.175555', '10.1016.j.jmrt.2022.11.027', '10.1016.j.jmrt.2024.06.140', '10.1016.j.jmst.2021.12.066', '10.1016.j.jnucmat.2018.08.031', '10.1016.j.jnucmat.2020.152324', '10.1016.j.jnucmat.2021.153364', '10.1016.j.jnucmat.2024.155283', '10.1016.j.matchar.2021.111434', '10.1016.j.matchar.2023.112693', '10.1016.j.matchar.2024.113929', '10.1016.j.matchemphys.2017.07.085', '10.1016.j.matdes.2016.05.079', '10.1016.j.matdes.2017.02.072', '10.1016.j.matdes.2022.111214', '10.1016.j.matdes.2023.112050', '10.1016.j.matlet.2015.03.066', '10.1016.j.matlet.2017.04.072', '10.1016.j.matlet.2018.08.059', '10.1016.j.matlet.2019.126566', '10.1016.j.msea.2015.02.072', '10.1016.j.msea.2018.05.109', '10.1016.j.msea.2018.07.036', '10.1016.j.msea.2018.07.088', '10.1016.j.msea.2018.09.009', '10.1016.j.msea.2018.09.025', '10.1016.j.msea.2018.10.021', '10.1016.j.msea.2018.11.055', '10.1016.j.msea.2018.12.102', '10.1016.j.msea.2019.03.010', '10.1016.j.msea.2019.03.088', '10.1016.j.msea.2019.05.056', '10.1016.j.msea.2019.138424', '10.1016.j.msea.2019.138620', '10.1016.j.msea.2019.138681', '10.1016.j.msea.2019.138772', '10.1016.j.msea.2020.139877', '10.1016.j.msea.2020.140714', '10.1016.j.msea.2022.142674', '10.1016.j.msea.2022.142759', '10.1016.j.msea.2022.142983', '10.1016.j.msea.2022.143702', '10.1016.j.msea.2022.144134', '10.1016.j.msea.2022.144158', '10.1016.j.msea.2022.144499', '10.1016.j.msea.2023.144690', '10.1016.j.msea.2023.145390', '10.1016.j.msea.2023.145597', '10.1016.j.msea.2024.146727', '10.1016.j.mtcomm.2019.100602', '10.1016.j.mtcomm.2022.103328', '10.1016.j.mtcomm.2022.104983', '10.1016.j.mtcomm.2023.106942', '10.1016.j.mtcomm.2023.107640', '10.1016.j.mtcomm.2024.109654', '10.1016.j.scriptamat.2015.06.022', '10.1016.j.scriptamat.2016.10.023', '10.1016.j.scriptamat.2018.08.048', '10.1016.j.scriptamat.2018.10.023', '10.1016.j.scriptamat.2020.06.019', '10.1016.j.scriptamat.2021.114053', '10.1016.j.scriptamat.2023.115887', '10.1016.j.surfcoat.2017.09.072', '10.1016.j.vacuum.2022.111350', '10.1016.j.wear.2019.03.026', '10.1016.S1003-6326(19)65139-3', '10.1016.j.matlet.2021.129618']"
Al0.3CoCrFeNiCu,"['10.1016.j.matdes.2022.110847', '10.1016.j.matlet.2021.130628', '10.1016.j.matlet.2022.131879', '10.1016.j.matlet.2023.134711']"
Al0.3CoCrFeNiMo0.1,"['10.1016.j.jallcom.2010.02.032', '10.1016.j.matchemphys.2017.07.085']"
Al0.3CoCrFeNiSi,"['10.1016.j.intermet.2022.107600', '10.1016.j.msea.2019.138681', '10.1016.j.intermet.2023.107909']"
Al0.3CoCrFeNiSi0.1,"['10.1016.j.intermet.2022.107600', '10.1016.j.msea.2022.142983']"
Al0.3CoCrFeNiSi0.2,"['10.1016.j.msea.2019.138681', '10.1016.j.msea.2022.142983']"
Al0.3CoCrFeNiSi0.3,"['10.1016.j.intermet.2022.107600', '10.1016.j.msea.2022.142983']"
